comparison,metric,mean_delta,ci_lo,ci_hi,frac_positive,sig,thr
BI_Q_35 - XGBoost,AP,-0.0,-0.0029,0.0035,0.456,False,0.001
BI_Q_35 - XGBoost,P@100,0.0227,-0.02,0.07,0.759,False,0.001
BI_Q_35 - XGBoost,lift@100,8.8862,-7.8431,27.4507,0.759,False,0.001
BI_Q_35 - XGBoost,P@500,0.0104,-0.004,0.026,0.89,False,0.001
BI_Q_35 - XGBoost,lift@500,4.0972,-1.5686,10.196,0.89,False,0.001
BI_Q_35 - XGBoost,P@1000,0.0015,-0.007,0.01,0.582,False,0.001
BI_Q_35 - XGBoost,lift@1000,0.5694,-2.7451,3.9215,0.582,False,0.001
BI_Q_35 - LogisticReg,AP,-0.0015,-0.0047,0.0028,0.198,False,0.001
BI_Q_35 - LogisticReg,P@100,0.0519,0.0,0.11,0.965,False,0.001
BI_Q_35 - LogisticReg,lift@100,20.3645,0.0,43.1368,0.965,False,0.001
BI_Q_35 - LogisticReg,P@500,0.0038,-0.016,0.026,0.598,False,0.001
BI_Q_35 - LogisticReg,lift@500,1.4957,-6.2744,10.196,0.598,False,0.001
BI_Q_35 - LogisticReg,P@1000,0.0018,-0.011,0.015,0.582,False,0.001
BI_Q_35 - LogisticReg,lift@1000,0.6871,-4.3137,5.8823,0.582,False,0.001
BI_Q_35 - XGBoost,AP,0.0018,0.0002,0.004,0.984,True,0.005
BI_Q_35 - XGBoost,P@100,-0.007,-0.06,0.05,0.326,False,0.005
BI_Q_35 - XGBoost,lift@100,-0.9159,-7.8616,6.5513,0.326,False,0.005
BI_Q_35 - XGBoost,P@500,0.0125,-0.002,0.028,0.935,False,0.005
BI_Q_35 - XGBoost,lift@500,1.6418,-0.2621,3.6687,0.935,False,0.005
BI_Q_35 - XGBoost,P@1000,0.0166,0.007,0.027,0.999,True,0.005
BI_Q_35 - XGBoost,lift@1000,2.1694,0.9172,3.5377,0.999,True,0.005
BI_Q_35 - LogisticReg,AP,-0.0007,-0.0024,0.0016,0.208,False,0.005
BI_Q_35 - LogisticReg,P@100,0.0308,-0.01,0.08,0.889,False,0.005
BI_Q_35 - LogisticReg,lift@100,4.033,-1.3103,10.4821,0.889,False,0.005
BI_Q_35 - LogisticReg,P@500,0.0044,-0.016,0.024,0.635,False,0.005
BI_Q_35 - LogisticReg,lift@500,0.5715,-2.0964,3.1446,0.635,False,0.005
BI_Q_35 - LogisticReg,P@1000,0.0059,-0.007,0.019,0.785,False,0.005
BI_Q_35 - LogisticReg,lift@1000,0.7762,-0.9205,2.4895,0.785,False,0.005
BI_Q_35 - XGBoost,AP,0.0027,0.0014,0.0039,1.0,True,0.01
BI_Q_35 - XGBoost,P@100,-0.0081,-0.06,0.0402,0.296,False,0.01
BI_Q_35 - XGBoost,lift@100,-0.576,-4.2826,2.8729,0.296,False,0.01
BI_Q_35 - XGBoost,P@500,0.0185,0.0,0.038,0.963,False,0.01
BI_Q_35 - XGBoost,lift@500,1.3179,0.0,2.7123,0.963,False,0.01
BI_Q_35 - XGBoost,P@1000,0.0216,0.009,0.036,1.0,True,0.01
BI_Q_35 - XGBoost,lift@1000,1.5442,0.6424,2.5696,1.0,True,0.01
BI_Q_35 - LogisticReg,AP,-0.0021,-0.0035,-0.0007,0.003,True,0.01
BI_Q_35 - LogisticReg,P@100,0.0211,-0.03,0.07,0.758,False,0.01
BI_Q_35 - LogisticReg,lift@100,1.5082,-2.1413,4.9964,0.758,False,0.01
BI_Q_35 - LogisticReg,P@500,-0.0018,-0.026,0.022,0.414,False,0.01
BI_Q_35 - LogisticReg,lift@500,-0.1268,-1.8558,1.5703,0.414,False,0.01
BI_Q_35 - LogisticReg,P@1000,0.0022,-0.016,0.019,0.573,False,0.01
BI_Q_35 - LogisticReg,lift@1000,0.157,-1.142,1.3579,0.573,False,0.01
