model,metric,mean,ci_lo,ci_hi,sd
BI Q_35,AP,0.0108,0.0092,0.0133,0.001
BI Q_35,P@100,0.0407,0.01,0.08,0.0197
BI Q_35,lift@100,5.3288,1.3103,10.4821,2.5798
BI Q_35,P@500,0.0303,0.016,0.046,0.0076
BI Q_35,lift@500,3.9722,2.0964,6.0272,0.9893
BI Q_35,P@1000,0.0294,0.02,0.04,0.0052
BI Q_35,lift@1000,3.8549,2.6172,5.241,0.6839
XGBoost,AP,0.009,0.0079,0.0106,0.0007
XGBoost,P@100,0.0477,0.01,0.0902,0.0214
XGBoost,lift@100,6.2447,1.3103,11.8251,2.7977
XGBoost,P@500,0.0178,0.008,0.03,0.0057
XGBoost,lift@500,2.3304,1.0482,3.9308,0.7496
XGBoost,P@1000,0.0129,0.007,0.02,0.0034
XGBoost,lift@1000,1.6855,0.9139,2.6205,0.451
LogisticReg,AP,0.0115,0.0104,0.0128,0.0006
LogisticReg,P@100,0.0099,0.0,0.03,0.0102
LogisticReg,lift@100,1.2958,0.0,3.9308,1.3381
LogisticReg,P@500,0.026,0.012,0.042,0.0072
LogisticReg,lift@500,3.4006,1.5723,5.5031,0.9418
LogisticReg,P@1000,0.0235,0.015,0.034,0.005
LogisticReg,lift@1000,3.0787,1.9654,4.4549,0.6497
