comparison,metric,mean_delta,ci_lo,ci_hi,frac_positive,sig
BI_Q_35 - XGBoost,AP,0.0018,0.0002,0.004,0.984,True
BI_Q_35 - XGBoost,P@100,-0.007,-0.06,0.05,0.326,False
BI_Q_35 - XGBoost,lift@100,-0.9159,-7.8616,6.5513,0.326,False
BI_Q_35 - XGBoost,P@500,0.0125,-0.002,0.028,0.935,False
BI_Q_35 - XGBoost,lift@500,1.6418,-0.2621,3.6687,0.935,False
BI_Q_35 - XGBoost,P@1000,0.0166,0.007,0.027,0.999,True
BI_Q_35 - XGBoost,lift@1000,2.1694,0.9172,3.5377,0.999,True
BI_Q_35 - LogisticReg,AP,-0.0007,-0.0024,0.0016,0.208,False
BI_Q_35 - LogisticReg,P@100,0.0308,-0.01,0.08,0.889,False
BI_Q_35 - LogisticReg,lift@100,4.033,-1.3103,10.4821,0.889,False
BI_Q_35 - LogisticReg,P@500,0.0044,-0.016,0.024,0.635,False
BI_Q_35 - LogisticReg,lift@500,0.5715,-2.0964,3.1446,0.635,False
BI_Q_35 - LogisticReg,P@1000,0.0059,-0.007,0.019,0.785,False
BI_Q_35 - LogisticReg,lift@1000,0.7762,-0.9205,2.4895,0.785,False
